title,speaker,hall,companies,date,start_time,end_time,category,conf,text
"Автоматический Test Impact Analysis","Алексей Романов, Игорь Балагуров",1,"Ozon Банк",19-11-2025,11:45,12:30,Automation,Heisenbug,"Речь пойдет об автоматическом анализе изменений исходного кода разработки для определения измененных эндпоинтов и операций для выбора минимального количества тестов для запуска на релиз. Расскажу про AST, LSP, работу с деревьями, изменениями в рамках git diff, асинхронными операциями.

Доклад построен на базе языка Go, но подход универсален и работает с любым популярным ЯП (со своими нюансами). О подходе к выбору тестов я рассказывал в предыдущих докладах."
"Почему ваш сайт ломается, когда его трогают пальцем
","Полина Цуканова, Татьяна Романова",2,"Selectel, Ozon Банк",19-11-2025,11:45,12:30,Best Practices,Heisenbug,"Объясню, почему эмуляторы, симуляторы и DevTools не всегда отображают баги, специфичные для мобильных браузеров. Расскажу про историю развития мобильных браузеров и о том, как архитектура iOS и Android влияют на работу мобильного веба и PWA. Разберу связанные с этим баги.

Покажу инструменты для тестирования мобильного веба на реальных устройствах и расскажу, для каких случаев достаточно симуляции, а для каких стоит использовать реальные устройства."
"
Broken access control через уязвимости бизнес-логики","Анна Куренова, Александра Сватикова",3,"ATI.SU, Т-Банк",19-11-2025,11:45,12:30,Security,Heisenbug,"Уязвимости класса Broken Access Control (BAC) постоянно занимают лидирующие позиции в рейтинге OWASP Top 10. В 2022 году я уже делала мастер-класс «Поиск уязвимостей IDOR (BOLA)», посвященный этой теме. В этот раз хочу затронуть проблемы гораздо глубже, чем простые ошибки в реализации авторизации.

Этот доклад посвящен менее очевидной, но крайне опасной категории угроз — Broken Access Control, возникающему из-за недостатков в самой бизнес-логике приложений.

Рассмотрим на примерах из багбаунти и реальных проектах, какие проблемы бизнес-логики приводят к BAC. Среди них:

Дефолтные права;
Интеграция;
Автопродление;
Коллизии прав доступа;
Отобрали права;
Проблемы последовательности;
Обработки ошибок
Цель доклада — научить мыслить «как хакер», выявляя скрытые логические цепочки, которые могут быть эксплуатированы для нарушения контроля доступа. Надеюсь, после моего мастер-класса команды разработки будут задумываться о разобранных проблемах в своих приложениях."
Как вдвоем протестировать игровой движок за 3 месяца,"Сергей Токмаков, Данил Токмаков",1,Blackhub Games,19-11-2025,13:00,13:45,GameDev,Heisenbug,"Свой движок — свои правила: как мы создавали и тестировали технологическое ядро Black Russia

Зачем вообще нужны игровые движки и почему в Blackhub Games мы решили создать собственный? Мы поделимся историей о том, как шаг за шагом строили движок, способный выдерживать тысячи игроков на одной карте и запускаться даже на самых неожиданных устройствах.

На этом пути были и сложные технические задачи, и организационные вызовы — от нехватки ресурсов до необходимости тестировать всё «на живую». Тут на сцену вышли наши 30 юных, но крайне мотивированных бета-тестеров — и превратили процесс в настоящий игровой марафон, помогая находить такие баги, о которых мы даже не подозревали.

Расскажем, как QA-команда подключилась к разработке с первых шагов, какие приёмы и лайфхаки помогли нам пережить цейтнот и ограниченные ресурсы."
Четыре всадника Android-приложения: особенности тестирования ключевых компонентов,"Александр Петров, Александра Качина",2,"VK
",19-11-2025,13:00,13:45,Mobile,Heisenbug,"Многие инженеры по мобильному тестированию ограничиваются механическим кликаньем по экрану. Но за качественным тестированием скрыта четкая система, и знание этой системы отличает специалистов высокого уровня.

Простым и понятным языком разберем, как базовые компоненты Android-приложений напрямую связаны с тестированием и как их понимание помогает находить баги, которые упускают другие. Вы узнаете:

что такое Activity, Service, BroadcastReceiver и ContentProvider — без академических определений, только то, что важно для тестировщика;
как каждый компонент влияет на поведение приложения и где кроются потенциальные ошибки;
как использовать adb и другие инструменты для имитации реальных сценариев и проверки корректности работы.
Далее мы углубимся подробнее в кейсы и разберем каждый компонент:

Activity. Жизненный цикл и связь поворотом экрана, входящий звонок, нехватка памяти. Научимся тестировать восстановление состояния через adb-команды и многое другое.
Service. Фоновая работа и взаимодействие с системой. Покажем, как проверять корректность работы аудиоплеера в foreground/background-режимах и при системных ограничениях.
BroadcastReceiver. Тестирование реакции на системные и кастомные события, такие как отключение наушников или низкий заряд батареи, с помощью симуляции через adb.
ContentProvider — проверка операций CRUD и где здесь могут быть ошибки.
В результате вы получите системное представление о тестировании Android-приложений на уровне платформы — с практическими примерами, которые можно применить сразу после доклада. Это подход, который делает тестировщика незаменимым и заметно повышает его ценность на рынке."
Нагрузочное тестирование enterprise NGFW с помощью опенсорс-нагрузчика Cisco TRex,"Сергей Бондарев, Максим Рогожников",3,"InfoWatch, Т-Банк",19-11-2025,13:00,13:45,Load Testing,Heisenbug,"Как реализовать нагрузочное тестирования NGFW с помощью опенсорс-нагрузчика Cisco TRex.

Сейчас у отечественных компаний есть проблема с покупкой западных нагрузчиков. Проблема обусловлена ограничением поставок, ограничениями лицензирования и поддержки, а также огромной стоимостью решений, доходящей до десятка, а иногда и сотни млн. рублей.

Расскажу про архитектуру Cisco TRex, принципы работы, организацию стендов в лабораторных условиях, реализацию нагрузочного тестирования трафиком, состоящим из множества протоколов.

Валидация и анализ результата нагрузочного тестирования

Целевая аудитория: инженеры нагрузочного тестирования, разработчики."
Собеседование QA под нейросетью: когда ИИ говорит «Да»,"Михаил Новотарский, Евгений Гребенщиков",1,Сбер,19-11-2025,14:15,15:00,AI,Heisenbug,"ИИ всё активнее участвует в собеседованиях — генерирует тестовые задания, оценивает мотивацию кандидата, анализирует голос и даже принимает финальное решение.

Что будет в докладе:

покажем, как ИИ уже используется в собеседованиях QA (и не только);
разберем 5 агентов, которые могут полностью заменить этапы интервью (или попытаться это сделать);
расскажем, как кандидаты используют ИИ против интервьюеров: от вымышленной карьеры до deepfake-обманок (но вам так делать не рекомендуем);
дадим практические советы — как вооружиться ИИ и не дать себя обмануть, будь вы на стороне работодателя или кандидата.
Это не про будущее. Это про то, как собеседуют прямо сейчас."
Как мы меняли Postman на Hoppscotch,"Дмитрий Муковкин, Юлия Атлыгина",2,"Koronatech, Tempo",19-11-2025,14:15,15:00,Tools/Frameworks,Heisenbug,"Мы перевели производство с Postman на Hoppscotch. Основные предпосылки такого решения — фундаментальные проблемы с безопасностью. Расскажу на нашем примере, как команда по безопасности решилась инициировать такую фундаментальную активность и как мы пошагово ее выполняли. Почему дальше с Postman нам было не по пути, как рассматривали аналоги и почему выбрали Hoppscotch.

Расскажу, с какими задачами и проблемами столкнулись на пути переезда. Как дорабатывали опенсорс-продукт, организовывали сборку приложения. Какие доработки пришлось выполнить, какие изменения предложили мировому сообществу и как авторы репозитория работают с пользовательскими предложениями. Отдельное внимание уделю тому, как переводили наше производство и какие функции нам не удалось заместить. Также перечислю ошибки, которые мы совершили.

Доклад будет интересен крупным компаниям и командам, уделяющим внимание вопросам безопасности. Цель доклада — подсветить актуальную проблему использования самого популярного инструмента и на собственном примере показать, что переезд возможен."
Env-тесты: как упростить жизнь разработчикам и тестировщикам,"Василий Кирнос, Григорий Кошелев
",3,"РСХБ.цифра, Контур",19-11-2025,14:15,15:00,Infrastructure,Heisenbug,"Быстрая обратная связь при разработке и тестировании — это база DevOps. Env-тесты представляют собой промежуточный слой между unit-тестами и E2E-тестами, позволяя разработчикам и тестировщикам быстро проверять изменения контроллеров и вебхуков в изолированном окружении. Рассмотрю концепцию Env-тестов, их место в архитектуре разработки и тестирования операторов, а также практические выгоды от их внедрения. Мы обсудим, как этот подход помогает:

— ускорить цикл разработки,

— улучшить качество кода,

— сократить время на отладку, 

— упростить интеграцию в CI/CD.

Расскажем о внутреннем опыте внедрения Env-тестов, их ограничениях, как с ними работать."
Тест-кейсы как код. Как реализовать и как с этим живется в большой команде,"Дмитрий Шахов, Игорь Балагуров",1,"Ozon Банк",19-11-2025,15:30,16:15,Automation,Heisenbug,"Доклад посвящен практическому опыту внедрения подхода «Тест-кейсы как код» в масштабе крупного финтех-продукта. Вы узнаете, как нам живется с данным подходом, и как реализовать у себя подобную систему, при которой тест-кейсы становятся единственным источником правды, документация живет прямо в коде, а 80% релизов проходят без ручного вмешательства QA.

В докладе рассматриваются:

Архитектурные решения
Технические детали
Кастомные инструменты
Интеграция с CI/CD
Практические результаты"
Appium-тесты на ARM и управление девайсами — легко!,"Андрей Щербаков, Алексей Тюрин",2,"Okko, Exness",19-11-2025,15:30,16:15,Mobile,Heisenbug,"В прошлом выпуске мы запускали актуальный Android на старом Selenoid, а сегодня будем делать всё по-взрослому — на нативном ARM.

Прямо на докладе мы напишем и протестируем с вами менеджер виртуальных машин Android на FastAPI, а я расскажу, в какие стороны можно его развить. В том числе чтобы сделать для Manual QA стабильную и удобную ферму реальных устройств и эмуляторов :)"
Тестирование с заботой: реальный опыт QA в медицинском проекте для будущих мам,"Ника Малиновская, Юлия Атлыгина",3,"Effective, Tempo",19-11-2025,15:30,16:15,Best Practices,Heisenbug,"Поговорим о тестировании проекта, состоящего из трех смежных приложений и Bluetooth-устройства. Рассмотрим работу с реальными устройствами, где:

батарея может садиться;
устройство может быть на зарядке (и отключено от Bluetooth);
сигнал нестабилен;
приложение может быть в фоне или закрыто.
И как можно упростить себе жизнь таблицами представлений переходов."
Взлом AI-агентов: прикладная инструкция к уязвимостям LLM и тулов,"Александр Князев, Александра Сватикова",1,"AMA, Т-Банк",19-11-2025,16:45,17:30,Security,Heisenbug,"Доклад о популярных векторах атак на веб-приложения с AI-агентами. Покажу реальные примеры атак на API, которые могут привести к компрометации системы, раскрытию данных и выполнению нежелательных действий. Разберу несколько разных кейсов атак: прямое и непрямое внедрение промпта, отыгрыш ролей, смена контекста с помощью контекстных токенов. Я даже заставлю LLM провернуть XSS-атаку на другую «жертву»."
Как особенности Python и Pytest могут поломать backend-автотесты,"Алексей Консманов, Татьяна Романова",2,"Ozon Банк",19-11-2025,16:45,17:30,Automation,Heisenbug,"Доклад на тему поиска, минимизации и устранения влияния тестового фреймворка и языковых особенностей Python & Pytest на flaky-тесты бэкенда. Цель — систематизировать и показать потенциальные риски: как избегать их еще до запуска тестов. Будут примеры с Python 3 и pytest. 

В коде автотестов есть нюансы и скрытые проблемы, которые сломают тест. Обсудим best practices, как таких проблем избежать. Разберем, какие проблемы могут сломать один тест, какие могут поломать всю тестовую сессию и окружение. Как искать такие тесты, какие есть лучшие практики по написанию flaky-free кода.

Сначала обсудим, что такое flaky, и сразу ограничим тематику flaky, вызванного языковыми и фреймворк-особенностями. Далее разберем конкретные код-кейсы: почему этот код кажется «ок», какая тут проблема, как ее избежать. В заключении вы получите чек-лист, который поможет избежать упомянутых проблем.

Целевая аудитория: Python AQA любого уровня, Python разработчики, Python SDETы и DevOps. Jinor & middle инженеры узнают новое, а senior-специалисты смогут систематизировать свои знания. Материал будет углубленным, будем разбирать практические примеры багов и фиксов на Python + pytest. Кроме того, будем разбирать специфику Python+pytest ecosystem."
"От старых окон к новым пингвинам: лайфхаки тестирования
миграции ОС","Леонид Глазков, Владимир Евдокимов",3,Сбер,19-11-2025,16:45,17:30,Tools/Frameworks,Heisenbug,"Операционные системы постоянно развиваются, и переход с одной платформы на другую становится реальностью для многих компаний.

Миграция сопровождается множеством нюансов: совместимость приложений, перенос данных, настройка окружений, производительность. Важнейшая роль здесь у тестирования — оно позволяет выявить потенциальные проблемы до внедрения и обеспечить стабильность инфраструктуры.

В докладе расскажем про эволюцию развития операционных систем и рассмотрим ключевые аспекты миграции между Windows и Linux: регресс функциональности, узкие места производительности и особенности тестирования ОС. Поделимся практическими примерами, показывающими, почему миграция — это всегда вызов и насколько критично здесь грамотное тестирование."
Как разрабатываются и тестируются новые лекарства,"Александр Надолинский, Мария Кондаурова",1,BIOCAD,19-11-2025,18:00,18:45,,Heisenbug,"Разработка нового препарата — это длинный и дорогой путь от молекулы до готового лекарства. Ошибки на ранних стадиях могут стоить миллиардов, поэтому ключевая роль здесь у тестирования.

В докладе разберем, какие типы тестов применяются в фарме: от клеточных систем, которые позволяют буквально заглянуть внутрь клетки и увидеть действие молекулы, до компьютерных инструментов и валидации ПО. Поговорим, как создаются специальные клеточные линии, зачем в них «встраивают светлячков» и почему для каждого механизма действия приходится разрабатывать новый тест.

Мы увидим, что тестирование — это не только про софт, но и про науку, где проверка гипотез, эффектов и сигналов в клетках столь же важна, как и классические методы QA."
"Как успеть протестировать устройство, пока оно едет по конвейеру на заводе","Никита Зубков, Софья Селезнева",3,"Яндекс, Гранч",19-11-2025,18:00,18:45,Hardware,Heisenbug,"Мы в Яндексе постоянно разрабатываем новые устройства, и производственный цикл каждого устройства отличается. В докладе я расскажу, в чем отличия тестирования на производственной линии от других видов тестирования; как выглядит производство, и какие неочевидные сложности встречают нас на нем; что проверяют тестовые стенды для умных устройств, и почему каждый — уникальный; с чего начать интеграцию своих тестов в производственную линию и как меняются подходы к разработке системы контроля качества на заводе с ростом количества новых запусков."
Следуй за белым кроликом,"Артем Ерошенко, Софья Селезнева",1,"Allure Team, Гранч",20-11-2025,10:30,11:15,AI,Heisenbug,"Проснись, {{username}}.

Ты уверен, что мир вокруг настоящий? Коллега, который пишет тебе в чате, или тот, кто ревьюит твой тест-кейс… а если это не человек? А если это уже программа?

AI-агенты — это автономные системы, которые воспринимают окружение, принимают решения и выполняют действия для достижения целей. В отличие от обычных скриптов, они адаптируются к контексту и могут работать с непредсказуемыми данными.

В докладе разберем конкретные технологии: как агенты используют RAG для сохранения памяти, работают с внешними инструментами через API и координируются в multi-agent системах. Рассмотрим практические реализации в n8n, различные фреймворки для создания агентов и посмотрим видео примеров использования.

Белый кролик уже пробежал мимо. Вопрос только в том, последуешь ли ты за ним? После доклада у вас будет понимание того, как начать использовать агентов уже сегодня, пока остальные еще раздумывают."
Браузерные инструменты: пишем свое расширение,"Алексей Иванов, Борис Мошнин",1,"2ГИС, SM Lab",20-11-2025,11:45,12:30,Tools/Frameworks,Heisenbug,"Иногда для тестирования не хватает одной кнопки в интерфейсе… и тогда мы можем добавить ее сами.

Расскажу, как создать собственное браузерное расширение под задачи QA. Обсудим отправку HTTP-запросов, работу с DOM, быстрые проверки и сохранение настроек.

На живом примере вы увидите расширение, которое экономит время тестировщика и автоматизирует рутину прямо в браузере. Так же сможете скачать темплейт и сделать расширение сами, после просмотра доклада"
E2E-тесты в синтезе речи: от хаоса к системе,"Руслан Федас, Авенир Воронов",2,"Т-Банк, Explyt",20-11-2025,11:45,12:30,Automation,Heisenbug,"Спойлер: в этом докладе мы не будем рассматривать ML-часть вопроса.

Этот доклад скорее для инженеров, работающих с бекэнд-системами, которые хотят не просто писать тесты, а понимать, как устроена автоматизация сложных продуктов от идеи до работающей инфраструктуры.

Ведь тестирование синтеза речи — это не классический E2E, где нужно проверить поля в JSON-ответе. В аудиосервисах всё сложнее: продукт неидемпотентный, а результат — звук, который нельзя просто взять и сравнить побайтово. 

Расскажу, с какими проблемами сталкивается QA, когда приходит в мир синтеза речи, и какие решения помогают превратить хаотичный процесс в системное E2E-тестирование. Мы обсудим:

— Как компьютер, который не слышит звук, может сравнивать его?

— Как тестировать синтезированное аудио и какие проблемы нас поджидают?

— Какой пайплайн автотестов мы построили с нуля, используя доступные каждому инструменты: Python, pytest, S3 и gitlab CI.

И даже если сейчас ваши сервисы не поддерживают голосовое взаимодействие «человек — сервис», то, учитывая скорость проникновения LLM в нашу индустрию, очень скоро начнут, а вам нужно будет уметь это тестировать :)"
QA — лучшие друзья AppSec'ов,"Андрей Кан, Александра Сватикова",3,"Ozon Банк, Т-Банк",20-11-2025,11:45,12:30,Security,Heisenbug,"Суть доклада: показать, как, используя инструменты/артефакты QA, мы улучшаем процессы AppSec.

Целевая аудитория: AppSec-инженеры/менеджеры, QA.

Технологии: 

— Allure и свой фреймворк тестирования — используют, разрабатывают QA.

— nuclei — инструмент динамического тестирования безопасности (DAST), представляет собой движок, который исполняет шаблоны в виде YAML (nuclei template доступен по ссылке). С помощью шаблонов можно создавать гибкие правила тестирования безопасности. На основе этого инструмента мы реализовываем и реализовали свои тесты безопасности.

Контекст:

На основе артефактов (HTTP-трафик, код) E2E-тестов QA мы построили инструмент поиска уязвимости IDOR (Insecure Direct Object References). Инструмент работает в пилотном режиме. Новый подход подвиг нас на переосмысление классического подхода к динамическому тестированию безопасности (DAST) и перестроение процесса динамического сканирования в сторону бизнес-процессов с помощью артефактов E2E-тестов."
Прогрессивные веб-приложения и их автотесты,"Ирина Стяжкина, Дмитрий Тучс",1,"Ozon Банк, Dodo Engineering",20-11-2025,13:00,13:45,Automation,Heisenbug,"Посмотрим, что представляет из себя PWA сегодня (что это такое, как технически устроено), и на то, как такие приложения работают с разными системными API телефона.

Основная часть доклада будет посвящена нюансам автоматизации тестирования PWA. Поговорим о том, как покрыть автотестами работу с камерой, пушами, контактами и аутентификацией и какие фичи Playwright нам помогут это сделать. Также посмотрим, где сегодня Playwirght бессилен, и как в таком случае быть.

Разберемся, что за файл такой manifest.json и чем PWA отличаются от гибридных приложений с native bridge. Поможет нам в этом маленький, но амбициозным проект на GItHub — Niffler."
Автогенерация тестов в IDE: как RAG + LLM превращают ручные сценарии в код,"Александр Поляков, Михаил Новотарский",2,Сбер,20-11-2025,13:00,13:45,AI,Heisenbug,"Ручная генерация автотестов — это потеря времени, дублирование и лишняя когнитивная нагрузка. Покажу, как конвейер RAG + LLM внутри IDE решает эту проблему: индексирует существующие тесты, находит похожие шаги и предлагает готовый код прямо в вашей среде разработки. Вы узнаете, как уже сегодня можно экономить до 30% времени на рутине и повысить согласованность тестов в команде.

Что будет в докладе:

обзор архитектуры плагина (IDE Plugin + LLM Gateway + Vector DB);
демонстрация рабочих кейсов и первых результатов;
инструкции, как запустить технологию и начать экономить время прямо сейчас."
"Debug Once, Test Forever: Turning Execution Paths into Tests","Даниил Степанов, Григорий Кошелев",3,"Explyt, Контур",20-11-2025,13:00,13:45,Tools/Frameworks,Heisenbug,"Расскажу о новой функциональности плагина explyt-test для IntelliJ IDEA, которая позволяет захватывать реальные исполнения Java/Kotlin-кода и автоматически генерировать по ним полноценные тесты.

Вы запускаете приложение (локально или удаленно), работаете с ним как обычно — а система в фоновом режиме фиксирует все ключевые данные: аргументы, возвращаемые значения, исключения, цепочку вызовов, состояние объектов. На основе этой трассы строится тест — понятный, точный, воспроизводимый. Простые объекты восстанавливаются через конструкторы, сложные зависимости заменяются моками, сериализуемые структуры превращаются в JSON. В финале используется LLM для доводки теста: код становится чистым, читаемым и соответствующим стилю проекта.

Разберемся, как эта технология работает изнутри: как происходит реконструкция объектов, какие эвристики используются для генерации и как сделать так, чтобы тесты были не только полезны, но и красивы. Все покажу на живой демонстрации: от взаимодействия с веб-интерфейсом до генерации теста, фиксирующего вызов бэкенд-сервиса."
Пусть говорят: как интерфейс заговорил на языке доступности,"Алевтина Чугунова, Дарья Каткова",1,Сбер,20-11-2025,14:15,15:00,Mobile,Heisenbug,"Поговорим о том, как сделать мобильные приложения удобными для тех, кто не смотрит на экран, а слушает его.

Этот доклад — путеводитель по тестированию доступности интерфейсов с помощью скринридеров TalkBack и VoiceOver. Мы покажем, как работают эти технологии, кому они действительно помогают (спойлер: не только незрячим) и что может пойти не так, если просто забыть про доступность.

Вы узнаете:

Как включить и использовать TalkBack и VoiceOver на Android и iOS.
Что и как должен озвучивать интерфейс.
Как дизайн-система может дать доступность «из коробки».
С какими граблями сталкиваются даже опытные команды.
И, конечно, получите чек-лист, с которым сможете проверить любой продукт. Доступность — это не про дополнительные настройки, а про заботу о реальных людях."
"Тестирование пассивного поведения системы. Как проверить, что система молчит не потому, что умерла","Анфиса Лаврова, Владимир Ситников",2,Синимекс,20-11-2025,14:15,15:00,Automation,Heisenbug,"Как убедиться, что система не умерла, а просто честно ждет? Разберу, как проводить функциональное тестирование пассивного поведения: режимы ожидания системы, очереди, паузы и отложенные фазы работы приложения. Расскажу:

— как писать тесты, которые проверяют отсутствие активности, а не ее наличие;

— какие метрики помогают отличить тишину от падения и как использовать их в тестах;

— как проверять логирование.

Приведу примеры кода тестов на Python.

Материал будет интересен не только автоматизаторам, но и тест-дизайнерам и ручным тестировщикам."
Миграция тестов в Linux,"Александр Шарков, Леонид Глазков",3,"Монитор Электрик, Сбер",20-11-2025,14:15,15:00,Tools/Frameworks,Heisenbug,"Мир десктопных автотестов в России меняется — Linux так или иначе вытеснит Windows с поля операционных систем в госсекторе.

Что будут делать компании, которые долгие годы делали софт под Windows?

Как будут адаптироваться тестировщики, которые под этот софт писали автотесты?

С какими проблемами мы столкнулись в автоматизации и как Microsoft помог нам их решить.

Просто и понятно объясню, как устроена автоматизация в Linux (X11, Wine, Avalonia), и мы вместе напишем драйвер для управления приложениями. А в конце покажу, как подключить стильные отчеты из Playwright к любым тестам."
AI-генерация тестовых данных. От DataFaker к AI-агентам,"Артем Симешин, Михаил Новотарский",1,Сбер,20-11-2025,15:30,16:15,AI,Heisenbug,"Расскажу про развитие генерации тестовых данных: от ручного труда и статичной генерации с шаблонизацей до полностью автоматизированной через AI-агентов с динамичной адаптацией под меняющиеся условия.

Обсудим плюсы и минусы каждого подхода — с примерами используемых промптов и моделей — а также нюансы и лайфхаки при генерации. Покажу пример агента для генерации тестовых данных на Java & Spring AI.

Если успеем, поговорим про развитие GenAI в QA и не только."
"От «кажется, медленно» до точных метрик: объективная оценка производительности фронтенда","София Литвинова, Максим Рогожников",2,"2GIS, Т-Банк",20-11-2025,15:30,16:15,Load Testing,Heisenbug,"Команды часто полагаются на субъективные оценки производительности приложения или ограничиваются разовыми замерами в DevTools, что не дает полной картины. Это приводит к позднему обнаружению проблем, потере пользователей и неэффективным оптимизациям. Борьба с медленной работой приложения начинается, только когда клиенты уже жалуются, и к этому моменту компания уже теряет деньги.

Представлю готовое решение, которое позволит выстроить систему для непрерывного мониторинга клиентской производительности на базе Sitespeed.io, Lighthouse и Grafana.

Покажу, как мы встроили тестирование производительности в контур с кэширующим прокси для получения стабильных и воспроизводимых метрик.

Доклад будет полезен QA-инженерам, тимлидам и фронтенд-разработчикам из компаний любых масштабов."
"Как замокать весь МИР, карты и всё, что угодно","Алексей Тишкин, Игорь Балагуров",3,Ozon Банк,20-11-2025,15:30,16:15,Infrastructure,Heisenbug,"Поговорим о тестирование интеграций с внешними зависимостями, о моках в общем.

Что делать когда готовых решений нет или они не соответствуют требованиям и ограничивают или тормозят процессы, а тестировать интеграцию надо?

Правильно - делать своё решение.

Сложно ли это? Делал ли кто-то так? Универсальное или точечно ? Работает ли это в долгую?

Да, мы так делали и делаем, уже давно так живём и готовы поделиться опытом.

Реальные примеры, бест-практис, рекомендации, профит - об этом доклад."
Переход от автоматизации к роботизации: эволюция QA,"Денис Сибирцев, Авенир Воронов
",1,"Т-Банк, Explyt",20-11-2025,16:45,17:30,Hardware,Heisenbug,"Внедрение автоматизации в тестирование физических устройств — сложная задача, особенно когда речь идет о сложных системах с тесной связкой «железо + ПО». В отделе разработки банкоматов мы столкнулись с этой проблемой, когда стандартное ручное тестирование банкоматов стало сильно увеличивать время поставки — и поняли, что пришло время искать новый подход.

Из доклада вы узнаете:

Почему мы приняли решение пойти по пути роботизации тестирования.
Как выбирали оборудование и адаптировали его под наши задачи.
Какие сложности возникли на этапе внедрения — от калибровки до интеграции с существующими системами.
Как нам удалось превратить робота из «коробочного решения» в гибкий и надежный инструмент QA.
Каких результатов удалось достичь и что планируем развивать дальше.
Будет полезно QA-инженерам, тест-менеджерам и всем, кто интересуется автоматизацией, роботизацией и тестированием сложных систем."
Автотесты мобильных приложений 360,"Сергей Балалаев",2,Ozon,20-11-2025,16:45,17:30,Mobile,Heisenbug,"Полное покрытие мобильных приложений автотестами — вы когда-нибудь слышали о таком? У нас в Ozon этой задачей занимается не только группа разработчиков, но и тестировщики — в единой команде. В докладе расскажу, какими видами автотестов мы покрывали различные функциональности и какие использовали инструменты, чтобы получить оптимальный результат по затратам на кодинг для получения полного покрытия с неформальной точки зрения. Поговорим о Unit-тестировании, покрытии снепшотами, стабилизации навигации приложения, особенностях организации UI-тестов. Затронем тему моков данных, проксирования сетевых запросов. Обсудим сторонние и собственные инструменты, доступные в open source."
Игра в данные: как не проиграть в битве за точность,"Вадим Пашковский, Юлия Атлыгина ",3,"ASTON, Tempo",20-11-2025,16:45,17:30,Best Practices,Heisenbug,"Тестирование систем веб-аналитики необходимо для обеспечения точности собираемых данных, которые используются для принятия бизнес-решений, улучшения сайта и маркетинговых кампаний, а также для оптимизации пользовательского опыта и снижения затрат. Правильная настройка аналитики позволяет корректно оценивать эффективность рекламных каналов, понимать поведение целевой аудитории и выявлять технические проблемы ресурса. Этот доклад поможет вам в построении надежной системы проверки данных: от интеграции и валидации событий до предотвращения потерь и искажений.

Вы узнаете:

Какие виды и инструменты тестирования критически важны для веб-аналитики (функциональное, интеграционное, нагрузочное, тестирование безопасности).
Какие существуют приемы и инструменты для валидации данных в популярных системах (Google Analytics, Яндекс Метрике, Amplitude и др.).
Как минимизировать ключевые риски: потерю данных, искажение метрик, проблемы с производительностью и конфиденциальностью.
Получите структурированный подход к тестированию систем аналитики, позволяющий обеспечить высочайшее качество данных и избежать дорогостоящих ошибок, построенных на ложных метриках.

Будет полезно QA-инженерам всех уровней, разработчикам, отвечающим за интеграцию аналитических сервисов, продакт- и дата-аналитикам, заинтересованным в достоверности собираемых данных."
"Матерюсь — значит, существую","Юлия Афонина, Андрей Дмитриев",1,JUG Ru Group,20-11-2025,18:00,18:45,,Heisenbug,"Ругательства давно стали частью человеческой речи, но их роль куда интереснее, чем просто эмоциональная окраска. Может ли мат работать как допинг и даже спасти жизнь? Правда ли, что он разрушает ДНК, или это всего лишь миф? Почему мат в какой-то момент оказался «плохим» и как к нему относятся сегодня? Что современные исследования говорят о матерящихся людях? Какие новые открытия ждут нас в понимании этого феномена языка и психики?"
Закрытие конференции Heisenbug 2025 Autumn,"Авенир Воронов, Софья Селезнева",1,"Explyt, Гранч",20-11-2025,18:50,19:00,,Heisenbug,"Подводим итоги, вспоминаем яркие моменты и рассказываем о планах. Приходите в зал или подключайтесь к трансляции, чтобы ничего не пропустить!"
